time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,3.0265332645233,2.51982799377572,3.7989267385772,3.47377883464672,1.50514997831991,0,2.58994960132571,4.28479155595015,2.71011736511182,0
0.05,2.87157293554588,4.42010434095018,3.64058080648965,3.32551566336315,1.36172783601759,0,2.40823996531185,4.12687786883527,2.55990662503611,0
0.1,2.70243053644553,4.26451087607177,3.48770386316373,3.16761267272753,1.27875360095283,0,4.4208465416012,3.97474190450095,2.41497334797082,0
0.15,2.55870857053317,4.10771861052026,3.32776748990273,3.01367969729119,1.17609125905568,0,4.27056238769733,3.82419094065258,2.2380461031288,0
0.2,2.38916608436453,3.95775091087728,3.17724783625562,2.86093662070009,1.11394335230684,0,4.11587666426844,3.67357379642305,2.07554696139253,0
0.25,2.23299611039215,3.7996850909091,3.0111473607758,2.70757017609794,1,0,3.96009006790492,3.52582195215666,1.89762709129044,0
0.3,2.09342168516224,3.63728954767817,2.88705437805096,2.51982799377572,0.954242509439325,0,3.80318388853534,3.37180645850742,1.79239168949825,0
0.35,1.92427928606188,3.48072537898849,2.72835378202123,2.36361197989214,0.778151250383644,0,3.64796945836297,3.21138755293686,1.63346845557959,0
0.4,1.82607480270083,4.45325716750212,2.5705429398819,2.17897694729317,0,0,3.49429376866533,3.05307844348342,1.47712125471966,0
0.45,1.6232492903979,4.29745409961907,2.40312052117582,4.42214645596212,0,0,3.33385014510254,2.90955602924118,1.30102999566398,0
0.5,1.46239799789896,4.13893394025692,2.22010808804005,4.26869495356218,0,0,3.18582535961296,2.76042248342321,1.14612803567824,0
0.55,1.34242268082221,3.98448230640226,2.05690485133647,4.11747016362012,0,0,4.43662374064153,2.5910646070265,1.04139268515822,0
0.6,1.23044892137827,3.83052451409726,1.90308998699194,3.9624640460579,0,0,4.27820467168417,2.42324587393681,0.954242509439325,0
0.65,1.04139268515822,3.67311310423823,1.76342799356294,3.8065869343278,0,0,4.59550724438828,2.27875360095283,0.698970004336019,0
