time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,0,0,0,0,0,0,0,4.8079407212155,0
0.05,0,0,0,0,0,0,0,0,4.65484047578855,0
0.1,0,0,0,0,0,0,0,0,4.50330029340127,0
0.15,0,0,0,0,0,0,0,0,4.34896651180206,0
0.2,0,0,0,0,0,0,0,0,4.19912411462332,0
0.25,0,0,0,0,0,0,0,0,4.04355874691473,0
0.3,0,0,0,0,5.40910768684308,0,0,0,3.88280904139244,0
0.35,0,0,0,0,5.25357302300142,0,0,0,3.72802895442052,0
0.4,0,0,0,0,5.09840142227008,0,0,0,3.57714698482752,0
0.45,0,0,0,0,4.94363793800712,0,0,0,3.41614103116833,0
0.5,0,0,0,0,4.79020069011683,0,0,0,3.25935492730803,0
0.55,0,0,0,0,4.63277100470175,0,0,0,3.11494441571258,0
0.6,0,0,0,0,4.47662877518236,0,0,0,2.96661098668193,0
0.65,0,0,0,0,4.3190852293387,0,0,0,2.7979596437372,0
0.7,0,0,0,0,4.16770123497137,0,0,0,2.65030752313194,0
0.75,0,0,0,0,4.01338501774968,0,0,0,5.40982157812913,0
0.8,0,0,0,0,3.86457040685343,0,0,0,5.25512047542789,0
0.85,0,0,0,0,3.71070956572434,0,0,0,5.10056696724343,0
0.9,0,0,0,0,3.56205482965638,0,0,0,4.9465112150141,0
0.95,0,0,0,0,3.40449161775869,5.40985200238929,0,0,4.79128352642965,0
1,0,0,0,0,3.23044892137827,5.25450457297866,0,0,4.63747972261193,0
1.05,0,0,0,0,3.07845681805329,5.09972897007944,0,0,4.48301642014413,0
1.1,0,0,0,0,2.92324401863028,4.94678620926782,0,0,4.3272362927471,0
1.15,0,0,0,0,2.76715586608218,4.79165556727351,0,0,4.16423385469261,0
1.2,0,0,0,0,2.61489721603313,4.63704920761565,0,0,4.01165501072478,0
1.25,0,0,0,0,2.46686762035411,4.48076844738003,0,0,3.85357654361964,0
1.3,0,0,0,0,2.33445375115093,4.32662256451565,0,0,3.70268896815913,0
1.35,0,0,0,0,2.14921911265538,4.16843855218677,0,0,3.54691264318124,0
1.4,0,0,0,0,2.03342375548695,4.02007110353384,0,0,3.39724458101039,0
1.45,0,0,0,0,1.83884909073726,3.86021818466876,0,0,3.23502315949522,0
1.5,0,0,0,0,1.67209785793572,3.69888313675259,0,0,3.0920184707528,0
1.55,0,0,0,0,1.57978359661681,3.54319858563765,0,0,2.93851972517649,0
1.6,0,0,0,0,1.43136376415899,3.39252108993193,0,0,2.76566855475901,0
1.65,0,0,0,0,1.17609125905568,3.24104815067164,0,0,2.59769518592551,0
