time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,2.52504480703684,1.73239375982297,1.73239375982297,0,0,0,0,2.56820172406699,0,0
0.05,2.33645973384853,1.51851393987789,1.57978359661681,0,0,0,0,2.43296929087441,0,0
0.1,2.17609125905568,1.39794000867204,1.44715803134222,0,0,0,0,2.2718416065365,0,0
0.15,2.02118929906994,1.20411998265592,1.20411998265592,0,0,0,0,2.13672056715641,0,0
0.2,1.86332286012046,0.954242509439325,1.04139268515822,0,0,0,0,1.99122607569249,0,0
0.25,1.74036268949424,0.903089986991943,0.845098040014257,0,0,0,0,3.04375512696868,0,0
0.3,1.61278385671974,0.845098040014257,0.845098040014257,0,0,0,0,2.87098881376058,0,0
0.35,1.43136376415899,0,0.698970004336019,0,0,0,0,2.70586371228392,0,0
0.4,1.20411998265592,0,0.477121254719662,0,0,0,0,2.55022835305509,0,0
0.45,1.07918124604762,0,3.01661554755718,0,0,0,0,2.38560627359831,0,0
0.5,1.07918124604762,0,2.86153441085904,0,0,0,0,2.22271647114758,0,0
0.55,0.903089986991943,0,2.70586371228392,0,0,0,0,2.07554696139253,0,0
0.6,0.778151250383644,0,2.55870857053317,0,0,0,0,1.89209460269048,0,0
0.65,0.698970004336019,0,2.43296929087441,0,0,0,0,1.69897000433602,0,0
0.7,0.602059991327962,0,2.31175386105575,0,0,0,0,1.55630250076729,0,0
0.75,0.301029995663981,0,2.18184358794477,0,0,0,0,1.38021124171161,0,0
0.8,0,0,2.02938377768521,0,0,0,0,1.25527250510331,0,0
0.85,3.01994668167884,0,1.88081359228079,0,0,0,0,1.14612803567824,0,0
0.9,2.8561244442423,0,1.74036268949424,0,0,0,0,1.04139268515822,0,0
0.95,2.72427586960079,0,1.50514997831991,0,0,0,0,0.954242509439325,0,0
1,3.14736710779379,0,1.39794000867204,0,0,0,0,0.845098040014257,0,0
1.05,2.99607365448528,0,1.23044892137827,0,0,0,0,0.778151250383644,0,0
1.1,2.84323277809801,0,1.14612803567824,0,0,0,0,0.602059991327962,0,0
1.15,2.69460519893357,0,1,0,0,0,0,0.477121254719662,0,0
1.2,2.52244423350632,0,0.778151250383644,0,0,0,0,0,0,0
1.25,2.38201704257487,0,0.698970004336019,0,0,0,0,0,0,0
1.3,3.0884904701824,0,0.602059991327962,0,0,0,0,0,0,0
1.35,2.93449845124357,0,0.477121254719662,0,0,0,0,0,0,0
1.4,2.77887447200274,0,0,0,0,0,0,0,0,0
1.45,2.62940959910272,0,0,0,0,0,0,0,0,0
1.5,3.13924921757161,0,0,0,3.03221570329798,0,0,0,0,0
