time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,1.50514997831991,0,0,0,0,0,0,0,0,0
0.05,1.38021124171161,0,0,0,0,0,0,0,0,0
0.1,1.27875360095283,0,0,0,0,0,0,0,0,0
0.15,1.04139268515822,0,0,0,0,0,0,0,0,0
0.2,0.903089986991943,0,0,0,0,0,0,0,0,0
0.25,0.778151250383644,0,0,0,0,0,0,0,0,0
0.3,0.778151250383644,0,0,0,0,0,0,0,0,0
0.35,0.477121254719662,0,0,0,0,0,0,0,0,0
0.4,0.301029995663981,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0
0.55,0,0,0,2.9670797341445,0,0,0,0,0,0
0.6,0,0,0,2.79934054945358,0,0,0,0,0,0
0.65,0,0,0,2.62940959910272,0,0,0,0,0,0
0.7,0,0,0,2.46389298898591,0,0,0,0,0,0
0.75,0,0,0,2.32428245529769,0,0,0,0,0,0
0.8,0,0,0,2.17026171539496,0,0,0,0,0,0
0.85,0,0,0,1.98677173426624,0,0,0,0,0,0
0.9,0,0,0,3.01786771896351,0,0,0,0,0,0
0.95,0,0,0,2.87040390527903,0,0,0,0,0,0
1,0,0,0,2.71516735784846,0,0,0,0,0,0
1.05,0,0,0,2.55509444857832,0,0,0,0,0,0
1.1,0,0,0,2.39445168082622,0,0,0,0,0,0
1.15,0,0,0,2.21748394421391,0,0,0,0,0,0
1.2,0,0,0,2.12057393120585,0,0,0,0,0,0
1.25,0,0,0,1.89209460269048,0,0,2.99166900737995,0,0,0
1.3,0,0,0,1.74036268949424,0,0,2.85913829729453,0,0,0
1.35,0,0,0,1.56820172406699,0,0,2.70070371714502,0,0,0
1.4,0,0,0,1.39794000867204,0,0,2.54777470538782,0,0,0
1.45,0,0,0,1.23044892137827,0,0,2.38738982633873,0,0,0
1.5,0,0,0,1.14612803567824,0,0,2.2148438480477,0,0,0
1.55,0,0,0,0.778151250383644,0,0,2.05307844348342,0,0,0
1.6,0,0,0,0.698970004336019,0,0,1.93449845124357,0,0,0
1.65,0,0,0,0.698970004336019,0,0,1.73239375982297,0,0,0
1.7,0,0,0,0.698970004336019,0,0,1.57978359661681,2.98317507203781,0,0
1.75,0,0,0,0.602059991327962,0,0,1.46239799789896,2.83821922190763,0,0
1.8,0,0,0,0,0,0,1.41497334797082,2.69108149212297,0,0
1.85,0,0,0,0,0,0,1.30102999566398,2.55509444857832,0,0
1.9,0,0,0,0,0,0,1.17609125905568,2.38381536598043,0,0
1.95,0,0,0,0,0,0,0.954242509439325,2.26007138798507,0,0
2,0,0,0,0,0,0,0.845098040014257,2.09342168516224,0,0
