time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,3.84855857212376,0.602059991327962,0,0,0,3.97201759867401,0,0,0
0.05,0,3.69161187421442,0.602059991327962,0,0,0,3.82157902791201,0,0,0
0.1,0,3.53744128340795,0.477121254719662,0,0,0,3.66763970605641,0,0,0
0.15,0,3.37346372163237,0.301029995663981,0,0,0,3.51067903103221,0,0,0
0.2,0,3.21984638602436,0.301029995663981,4.43304941161661,0,0,3.35256838617931,0,0,0
0.25,0,3.0696680969116,0,4.65563777845324,0,0,3.17724783625562,0,0,0
0.3,0,2.89209460269048,0,4.50345019344201,0,0,3.04178731897175,0,0,0
0.35,0,2.72345567203519,0,4.34736905126879,0,0,2.90794852161227,0,0,0
0.4,0,2.56584781867352,0,4.19214912501853,0,0,2.73878055848437,0,0,0
0.45,0,2.43136376415899,0,4.03614962974585,0,0,2.56348108539441,0,0,0
0.5,0,2.26245108973043,0,3.8805277781988,0,0,2.41664050733828,0,0,0
0.55,0,2.10037054511756,0,3.73343802709106,0,0,2.26245108973043,0,0,0
0.6,0,1.99563519459755,0,3.57806588383609,0,0,2.14921911265538,0,0,0
0.65,0,1.85733249643127,0,3.4201208480857,0,0,2.03742649794062,0,0,0
0.7,0,1.70757017609794,0,3.26126286879249,0,0,1.85125834871908,0,0,0
0.75,0,1.50514997831991,0,3.11293997608408,0,0,1.75587485567249,0,0,0
0.8,0,1.23044892137827,0,2.95568775031351,0,0,1.60205999132796,0,0,0
0.85,0,1.11394335230684,0,2.80888586735981,0,0,1.41497334797082,0,0,0
0.9,0,0.845098040014257,0,2.64933485871214,0,0,1.20411998265592,0,0,0
0.95,0,0.602059991327962,0,2.47712125471966,0,0,1.04139268515822,0,0,0
1,0,0.602059991327962,0,2.3654879848909,0,0,1,0,0,0
1.05,0,0.602059991327962,0,2.22271647114758,0,0,0.954242509439325,0,4.42908983921257,0
1.1,0,0,0,2.03742649794062,0,0,0.845098040014257,0,4.27346427262135,0
1.15,0,0,0,1.83884909073726,0,0,0.778151250383644,0,4.11902482011478,0
1.2,0,0,0,1.74036268949424,0,0,0.778151250383644,0,3.96918285923226,0
1.25,0,0,0,4.43089704902726,0,0,0.698970004336019,0,3.81769755476302,0
