time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,4.06160324960837,0,0,0,0
0.4,0,0,0,0,0,3.90579588036787,0,0,0,0
0.45,0,0,0,0,0,3.75189468804375,0,0,0,0
0.5,0,0,0,0,0,3.59648713373654,0,0,0,0
0.55,0,0,0,0,0,3.44310645673727,0,0,0,0
0.6,0,0,0,0,0,3.28035069304601,0,0,0,0
0.65,0,0,0,0,0,3.1215598441875,0,0,0,0
0.7,0,0,0,0,0,2.97405090279288,0,0,0,0
0.75,0,0,0,0,0,2.81157500587059,0,0,0,0
0.8,0,0,0,0,0,2.63144376901317,0,0,0,0
0.85,0,0,0,0,0,2.47421626407626,0,0,0,0
0.9,0,0,0,0,0,2.30749603791321,0,0,0,0
0.95,0,0,0,0,0,2.11058971029925,0,0,0,0
1,0,0,0,0,0,1.95424250943932,0,0,0,0
1.05,0,0,0,0,0,1.82607480270083,0,0,0,0
1.1,0,0,0,0,0,4.06881642992222,0,0,0,0
1.15,0,0,0,0,0,3.91466043058922,0,0,0,0
1.2,0,0,0,0,0,3.75686422406055,0,0,0,0
1.25,0,0,0,0,0,3.60648885044265,0,0,0,0
1.3,0,0,0,0,0,3.45331834004704,0,0,0,0
1.35,0,0,0,0,0,3.29556709996248,0,0,0,0
1.4,0,0,0,0,0,3.13987908640124,0,0,0,0
1.45,0,0,0,0,0,2.98091193777684,0,0,0,0
1.5,0,0,0,0,0,2.83058866868514,0,0,0,0
1.55,0,0,0,0,0,2.67486114073781,0,0,0,0
1.6,0,0,0,0,0,2.53529412004277,0,0,0,0
1.65,0,0,0,0,0,2.40483371661994,0,0,0,0
1.7,0,0,0,0,0,2.25285303097989,0,0,0,0
1.75,0,0,0,0,0,2.14612803567824,0,0,0,0
1.8,0,0,0,0,0,2.02530586526477,0,0,0,0
1.85,0,0,0,0,0,1.84509804001426,0,0,0,0
1.9,0,0,0,0,0,1.7160033436348,0,0,0,0
1.95,0,0,0,0,0,1.53147891704226,0,0,0,0
2,0,0,0,0,0,1.27875360095283,0,0,0,0
2.05,0,0,0,0,0,1.20411998265592,0,0,0,0
2.1,0,0,0,0,0,1.11394335230684,0,0,0,0
2.15,0,0,0,0,0,0.954242509439325,0,0,0,0
2.2,0,0,0,0,0,0.903089986991943,0,0,0,0
2.25,0,0,0,0,0,0.778151250383644,0,0,0,0
2.3,0,0,0,0,0,0.778151250383644,0,0,0,0
2.35,0,0,0,0,0,0.698970004336019,0,0,0,0
2.4,0,0,0,0,0,0.698970004336019,0,0,0,0
2.45,0,0,0,0,0,0.698970004336019,0,0,0,0
2.5,0,0,0,0,0,0.477121254719662,0,0,0,0
2.55,0,0,0,0,0,0.477121254719662,0,0,0,0
2.6,0,0,0,0,0,0.477121254719662,0,0,0,0
2.65,0,0,0,0,0,0.477121254719662,0,0,0,0
2.7,0,0,0,0,0,0.301029995663981,0,0,0,0
2.75,0,0,0,0,0,0.301029995663981,0,0,0,0
2.8,0,0,0,0,0,0.301029995663981,0,0,0,0
2.85,0,0,0,0,0,0.301029995663981,0,0,0,0
2.9,0,0,0,0,0,0.301029995663981,0,0,0,0
2.95,0,0,0,0,0,0.301029995663981,0,0,0,0
3,0,0,0,0,0,0.301029995663981,0,0,0,0
3.05,0,0,0,0,0,0.301029995663981,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0
3.15,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0
3.25,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0,0
3.35,0,0,0,0,0,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0,0
3.45,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0
3.55,0,0,0,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0,0
3.65,0,0,0,0,0,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,0,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0,0
3.85,0,0,0,0,0,0,0,0,0,0
3.9,0,0,0,0,4.06081111979135,0,0,0,0,0
3.95,0,0,0,0,3.90649665979935,0,0,0,0,0
4,0,0,0,0,3.75058552734101,0,0,0,0,0
4.05,0,0,0,0,3.58624963886604,0,0,0,0,0
4.1,0,0,0,0,3.43168534468601,0,0,0,0,0
4.15,0,0,0,0,3.28533222764388,0,0,0,0,0
4.2,0,0,0,0,3.11859536522376,0,0,0,0,0
4.25,0,0,0,0,4.09750025223169,0,0,0,0,0
4.3,0,0,0,0,3.9415114326344,0,0,0,0,0
4.35,0,0,0,0,3.78283080520259,0,0,0,0,0
4.4,0,0,0,0,3.62355939000544,0,0,0,0,0
4.45,0,0,0,0,3.463295609962,0,0,0,0,0
4.5,0,0,0,0,3.30835094858673,0,0,0,0,0
4.55,0,0,0,0,3.16583762469013,0,0,0,0,0
4.6,0,0,0,0,3.00945089579869,0,0,0,0,0
4.65,0,0,0,0,2.85308952985187,0,0,0,0,0
