time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,0,0,0,0,0,2.3747483460101,3.20030318298158,0,4.08048217906804
0.05,0,0,0,0,0,0,2.23552844690755,3.03742649794062,0,3.91476613692585
0.1,0,0,0,0,0,0,2.09691001300806,2.87852179550121,0,4.61076659477327
0.15,0,0,0,0,0,0,1.94448267215017,2.70070371714502,0,4.45575820310414
0.2,0,0,0,0,0,0,1.81954393554187,2.55388302664387,0,4.29904944659754
0.25,0,0,0,0,0,0,1.64345267648619,2.38381536598043,0,4.14786174848724
0.3,0,0,0,0,0,0,1.43136376415899,2.22010808804005,0,3.99255351783213
0.35,0,0,0,0,0,0,1.11394335230684,2.02118929906994,0,3.83632411570675
0.4,0,0,0,0,0,0,0.954242509439325,1.85733249643127,0,3.67988194211286
0.45,0,0,0,0,0,0,0.778151250383644,1.74036268949424,0,3.52452593662638
0.5,0,0,0,0,0,0,0.477121254719662,1.55630250076729,0,3.37438169805088
0.55,0,0,0,0,0,0,0.477121254719662,1.44715803134222,0,3.21984638602436
0.6,0,0,0,0,0,4.54782391443914,0.301029995663981,1.39794000867204,0,3.07224989761351
0.65,0,0,0,0,0,4.39197546060976,4.54955498068805,1.27875360095283,0,2.92839585225671
0.7,0,0,0,0,0,4.24291394681892,4.39239794321637,1,0,2.76117581315573
0.75,0,0,0,0,0,4.08682235709906,4.23749346966873,0.698970004336019,0,2.6222140229663
0.8,0,0,0,0,0,3.93150872186662,4.08015731097018,0.698970004336019,0,2.46686762035411
0.85,0,0,0,0,0,3.78182715293243,3.92355485806755,0.602059991327962,0,2.31175386105575
0.9,0,0,0,0,0,3.62879748556671,3.76974646717945,0.301029995663981,0,2.12385164096709
0.95,0,0,0,0,0,3.46834733041216,4.59070811656371,0,0,1.99122607569249
1,0,0,0,0,0,3.31069331234336,4.43675085277265,0,0,1.83250891270624
1.05,0,0,0,0,0,3.17143390094301,4.28312023495977,0,0,1.55630250076729
1.1,0,0,0,0,0,3.01619735351244,4.13110516209373,0,0,1.44715803134222
1.15,0,0,0,0,0,2.86451108105839,3.97556965789366,0,0,1.27875360095283
1.2,0,0,0,0,0,2.72509452108147,3.81947812836212,0,0,1.07918124604762
1.25,0,0,0,0,0,2.5910646070265,3.66968870805621,0,0,0.903089986991943
1.3,0,0,0,0,0,2.43136376415899,3.50947135210255,0,0,0.845098040014257
1.35,0,0,0,0,0,2.29885307640971,3.34752515999869,0,0,0.301029995663981
1.4,0,0,0,0,0,2.14921911265538,3.19838213000829,0,0,0.301029995663981
1.45,0,0,0,0,0,1.97772360528885,4.55431952791878,0,0,0
1.5,0,0,0,0,0,1.78532983501077,4.39863432453839,0,0,0
1.55,0,0,0,0,0,1.57978359661681,4.23939959311579,0,0,0
1.6,0,0,0,0,0,1.38021124171161,4.08468349790325,0,0,0
1.65,0,0,0,0,0,1.23044892137827,3.93008263339237,0,0,0
1.7,0,0,0,0,0,1.07918124604762,3.77458995026479,0,0,0
1.75,0,0,0,0,0,0.903089986991943,3.62211036036122,0,0,0
1.8,0,0,0,0,0,0.778151250383644,3.46344503177043,0,0,0
1.85,0,0,0,0,0,0.698970004336019,3.31344537042641,0,0,0
1.9,0,0,0,0,0,0.602059991327962,3.16076856186113,0,0,0
1.95,0,0,0,0,0,0.477121254719662,2.99078269180314,0,0,0
2,0,0,0,0,0,0.301029995663981,2.82542611776782,0,0,0
2.05,0,0,0,0,0,0.301029995663981,2.68304703823885,0,0,0
2.1,0,0,0,0,0,0.301029995663981,2.56348108539441,0,0,0
2.15,0,0,0,0,0,0,2.42488163663107,0,0,0
2.2,0,0,0,0,0,0,2.2718416065365,0,0,0
2.25,0,0,0,0,0,0,2.11394335230684,0,0,0
2.3,4.54061724032821,0,0,0,0,0,1.95904139232109,0,0,0
2.35,4.38603499474063,0,0,0,0,0,1.82607480270083,0,0,0
2.4,4.23167343670614,0,0,0,0,0,1.66275783168157,0,0,0
2.45,4.074743320941,0,0,0,0,0,1.53147891704226,0,0,0
2.5,3.92184248140586,0,0,0,0,0,1.34242268082221,0,0,0
2.55,3.76117581315573,0,0,0,0,0,1.14612803567824,0,0,0
2.6,3.60476588470389,0,0,0,0,0,0.903089986991943,0,0,0
2.65,3.45071087814692,0,0,0,4.54599945580018,0,0.778151250383644,0,0,0
2.7,3.30427505047713,0,0,0,4.39049352650417,0,0.698970004336019,0,0,4.54232738277397
2.75,3.13861843389949,0,0,0,4.23636088801292,0,0.698970004336019,0,0,4.38487289449292
2.8,2.98766626492627,0,0,0,4.08026562733984,0,0.602059991327962,4.54276320266193,0,4.23006555120605
2.85,2.83569057149243,0,0,0,3.91844974240116,0,0,4.38558840102966,0,4.07609404668248
2.9,2.67851837904011,0,0,0,3.7609499514109,0,0,4.22466252884103,0,3.92391722311311
2.95,2.4983105537896,0,0,0,3.60064623566239,0,0,4.06681027562583,0,3.76484835719341
3,2.3384564936046,0,0,0,3.44341946178282,0,0,3.91640130360388,0,3.6036855496147
3.05,2.20139712432045,0,0,0,3.29468662427944,0,0,3.75951675946219,0,3.45285933579585
3.1,2.01703333929878,0,0,0,3.14426277376199,0,0,3.6036855496147,0,3.29092455938275
3.15,1.85733249643127,0,0,0,2.99782308074573,0,0,3.45392959205773,0,3.13576851456782
3.2,1.72427586960079,0,0,0,2.84010609445676,0,0,3.29424571613812,0,2.99475694458763
3.25,1.55630250076729,0,0,0,2.70156798505593,0,0,4.56390805034629,0,2.8394780473742
3.3,1.38021124171161,0,0,0,2.56348108539441,0,0,4.40898576821169,0,2.67209785793572
3.35,1.25527250510331,0,0,0,2.41497334797082,0,0,4.25532075736511,0,2.53019969820308
3.4,1,0,0,0,2.24303804868629,0,0,4.10291370278922,0,2.38560627359831
3.45,0.845098040014257,0,0,0,2.08635983067475,0,0,3.94546858513182,0,2.25042000230889
3.5,0.477121254719662,0,0,0,1.96848294855394,0,0,3.79148011602,0,2.09691001300806
3.55,0.301029995663981,0,0,0,1.86332286012046,0,0,3.6341748717626,0,1.95424250943932
3.6,0.301029995663981,0,0,0,1.7481880270062,0,0,3.47610671684019,0,1.78532983501077
3.65,0.301029995663981,0,0,0,1.5910646070265,0,0,3.31048089146267,0,1.60205999132796
3.7,0,0,0,0,1.41497334797082,0,0,3.16106838547117,0,1.44715803134222
3.75,0,0,0,0,1.23044892137827,0,0,2.99651167215418,0,1.39794000867204
3.8,0,0,0,0,1.04139268515822,0,0,2.85369821177617,0,4.54395635426559
3.85,0,0,0,0,0.903089986991943,0,0,2.68752896121463,0,4.38731862468566
3.9,0,0,0,0,0.778151250383644,0,0,2.55144999797287,0,4.23021893988738
3.95,0,0,0,0,0.778151250383644,0,0,4.54747933393103,0,4.07467018892401
4,0,0,0,4.54099230035662,0.698970004336019,0,0,4.39250349968175,0,3.91755802082544
4.05,0,0,0,4.38365382146256,0.301029995663981,0,0,4.2382217936778,0,3.76305344029961
4.1,0,0,0,4.23152056097025,0,0,0,4.0815273262448,0,3.60713320439157
4.15,0,0,0,4.08087891034182,0,0,0,3.92505412031184,0,3.45055700941833
4.2,0,0,0,3.92757565469111,0,0,0,3.77451696572855,0,3.3003780648707
4.25,0,0,0,3.76989403581217,0,0,0,3.62179922400267,0,3.14144977340047
4.3,0,0,0,3.61468634228201,0,0,0,3.46239799789896,0,2.987219229908
4.35,0,0,0,3.45757914699576,0,0,0,3.30081279411812,0,2.83884909073725
4.4,0,0,0,3.30470589821276,0,0,0,3.14891099310936,0,2.66464197555613
4.45,0,0,0,3.15044940946088,0,0,0,2.98989456371877,0,2.50242711998443
4.5,0,0,0,3.00259798071991,0,0,0,2.82542611776782,0,2.35218251811136
4.55,0,0,0,2.8494194137969,0,0,0,2.66838591669,0,2.18184358794477
