time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,3.55497345833324,3.42275394130135,0.954242509439325,2.96142109406645,0,0,3.39005149645899,3.31576049066573,2.51719589794997,3.43870053290074
0.05,3.39950066131461,3.25333800532611,0.903089986991943,2.8109042806687,0,0,3.22762964957101,3.60927417240459,2.36172783601759,3.2817149700273
0.1,3.65359838184329,3.08671566394488,0.845098040014257,2.68394713075151,0,0,3.08098704691089,3.74059951281116,2.20411998265592,3.13767053723675
0.15,3.49982449583958,2.93094903116752,0.602059991327962,2.52762990087134,0,0,2.92992956008459,3.58658730467175,2.02938377768521,2.98677173426624
0.2,3.34321159017975,2.76566855475901,0.477121254719662,2.37106786227174,0,0,2.76117581315573,3.42308195829723,1.83250891270624,3.52517442783527
0.25,3.19256745333655,2.6063813651106,0.301029995663981,2.23044892137827,0,0,2.6063813651106,3.26576091671761,1.63346845557959,3.3714373174041
0.3,3.01535975540921,2.45939248775923,0.301029995663981,2.08278537031645,0,0,2.47275644931721,3.10687054447865,1.39794000867204,3.63255851453267
0.35,2.86746748785905,2.33041377334919,0,1.94939000664491,0,0,2.32014628611105,2.97220283837906,1.23044892137827,3.48287358360875
0.4,3.51995918075207,2.19589965240923,0,1.85125834871908,0,0,2.15228834438306,2.81557774832427,3.43759203225396,3.32387060654051
0.45,3.3654879848909,2.06445798922692,0,3.44153803870216,0,0,1.98227123303957,2.66086547800387,3.28510702956681,3.15320490008428
0.5,3.62407573114568,1.89762709129044,0,3.28057837036808,0,0,1.72427586960079,2.50379068305718,3.13097669160562,2.99607365448528
0.55,3.46819958607261,1.72427586960079,0,3.1296898921993,0,0,1.61278385671974,2.33645973384853,2.96189547366785,2.83442070368153
0.6,3.31868926994775,1.47712125471966,0,2.96801571399364,0,3.42439155441028,1.47712125471966,2.14921911265538,2.78746047451842,2.67577834167408
0.65,3.15503222879097,1.27875360095283,0,2.77597433112937,0,3.27323283404305,1.17609125905568,1.93449845124357,2.63144376901317,2.52633927738984
0.7,2.99519629159718,1.14612803567824,0,2.61172330800734,0,3.12090281761453,1,1.77085201164214,2.50242711998443,2.36361197989214
0.75,2.83758843823551,0.845098040014257,0,2.46982201597816,0,2.95904139232109,0.903089986991943,1.66275783168157,2.35024801833416,2.18752072083646
0.8,2.67209785793572,0.698970004336019,0,3.45331834004704,0,2.82672252016899,0.698970004336019,1.51851393987789,2.19312459835446,2.04532297878666
0.85,2.5092025223311,0.698970004336019,0,3.66417170536193,0,2.67486114073781,0.301029995663981,1.27875360095283,2.05307844348342,1.91907809237607
0.9,2.34242268082221,0.301029995663981,0,3.50256366910736,0,2.53529412004277,0.301029995663981,1.17609125905568,1.88081359228079,1.78532983501077
0.95,2.19312459835446,0.301029995663981,0,3.35237549500052,0,2.42160392686983,0.301029995663981,0.903089986991943,1.72427586960079,1.64345267648619
1,2.03742649794062,0.301029995663981,0,3.63457802285389,0,2.2718416065365,0.301029995663981,0.778151250383644,1.46239799789896,3.43520710324075
1.05,1.89209460269048,0.301029995663981,0,3.47914324797861,0,2.10037054511756,0,0.778151250383644,1.36172783601759,3.29490691060519
1.1,1.70757017609794,0.301029995663981,0,3.33183204443625,0,1.93951925261862,0,0.698970004336019,1.17609125905568,3.15106325335375
1.15,1.5910646070265,0.301029995663981,0,3.17172645365323,0,1.75587485567249,0,0.698970004336019,0.954242509439325,3.00043407747932
1.2,1.41497334797082,0,0,3.01994668167884,0,1.55630250076729,0,0.477121254719662,0.954242509439325,3.52891670027765
1.25,1.27875360095283,0,0,2.87215627274829,0,1.36172783601759,0,0.477121254719662,0.845098040014257,3.37309598707873
1.3,1.23044892137827,0,0,2.70586371228392,0,3.42357351973274,0,0,0.845098040014257,3.21138755293686
1.35,1,0,0,2.54900326202579,0,3.26410915630581,0,0,0.477121254719662,3.05690485133647
1.4,0.903089986991943,0,0,2.38201704257487,0,3.11058971029925,0,0,0,2.91803033678488
1.45,0.698970004336019,0,0,2.26717172840301,0,2.95375969173323,0,0,0,2.77451696572855
1.5,0.698970004336019,0,0,2.07918124604762,0,2.78461729263288,0,0,0,2.62013605497376
1.55,0.698970004336019,3.41796964221474,0,1.91907809237607,0,2.64836001098093,0,0,0,3.4661258704182
1.6,0.301029995663981,3.24944296144258,0,1.81291335664286,0,2.49692964807321,0,0,0,3.30685374869301
1.65,0,3.0982975364947,0,1.70757017609794,0,2.35024801833416,0,0,0,3.14798532068381
1.7,0,2.93094903116752,0,1.53147891704226,0,2.15836249209525,0,3.43360984332372,0,2.98587535730839
1.75,0,2.78175537465247,0,1.38021124171161,0,2.00860017176192,0,3.28780172993023,0,3.52659770910345
1.8,0,2.63042787502502,0,1.32221929473392,0,1.8750612633917,0,3.13385812520333,0,3.36530074863799
1.85,0,2.44715803134222,0,1,0,1.74036268949424,0,2.987219229908,0,3.22193559982801
1.9,0,2.31386722036915,0,0.954242509439325,0,1.56820172406699,0,2.84447717574568,0,3.06707085604537
1.95,0,2.1846914308176,0,0.845098040014257,0,1.47712125471966,0,2.68841982200271,0,2.9304395947667
2,0,2.05690485133647,0,0.778151250383644,0,1.32221929473392,0,2.51982799377572,0,2.78247262416629
2.05,0,1.90848501887865,0,3.43120288455652,0,1.04139268515822,0,2.36172783601759,0,2.64048143697042
2.1,3.41547416810924,1.78532983501077,0,3.27021285489624,0,0.903089986991943,3.41664050733828,2.20411998265592,0,2.49554433754645
2.15,3.26434550705009,3.42634857378751,0,3.10140335055533,0,0.477121254719662,3.25695815256093,2.07554696139253,0,2.33445375115093
2.2,3.10551018476997,3.26834391395106,0,2.94398887507377,0,0.477121254719662,3.10380372095596,1.88649072517248,0,3.46404220543881
2.25,2.96284268120124,3.10619089726341,0,2.79169064902012,0,0.477121254719662,2.92064500140679,1.66275783168157,0,3.30877777366472
2.3,2.79865064544527,2.95230800966212,3.41896383070362,2.64345267648619,0,0,2.76492298464989,1.49136169383427,0,3.14395111642396
2.35,2.64640372622307,2.78461729263288,3.26717172840301,2.52504480703684,0,0,3.48685535527694,1.38021124171161,0,2.99078269180314
2.4,2.4996870826184,2.63245729218472,3.11126251365907,2.38201704257487,0,0,3.33645973384853,1.25527250510331,0,3.52061452187824
2.45,2.34242268082221,2.48572142648158,2.93851972517649,2.18752072083646,0,0,3.1846914308176,1.11394335230684,0,3.3807537708039
2.5,2.20682587603185,2.31597034545692,2.78175537465247,2.02938377768521,0,0,3.58081097266095,1,0,3.22711508258912
2.55,2.07554696139253,2.1846914308176,2.59217675739587,1.89209460269048,0,0,3.41530729222557,0.845098040014257,0,3.07881918309885
