time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,0,3.02571538390134,0,0,2.62838893005031,0,0,0,0
0.05,0,0,2.85308952985187,0,0,2.47712125471966,0,0,0,0
0.1,0,0,2.70156798505593,0,0,2.30749603791321,0,0,0,0
0.15,0,0,2.53147891704225,0,0,2.13353890837022,0,0,3.08813608870055,0
0.2,0,0,2.38560627359831,0,0,2,0,0,2.93196611472817,0
0.25,0,0,2.23044892137827,0,0,1.81954393554187,0,0,2.77378644498119,0
0.3,0,0,2.04139268515822,0,0,1.66275783168157,0,0,2.61384182187607,0
0.35,0,3.09586645347854,1.93951925261862,0,0,1.50514997831991,0,0,2.48287358360875,0
0.4,0,2.94645226501307,1.78532983501077,0,0,1.36172783601759,0,0,2.29003461136252,0
0.45,0,2.80888586735981,1.56820172406699,0,0,1.04139268515822,0,0,2.17026171539496,0
0.5,0,2.66651798055488,1.38021124171161,0,3.09307130637606,0.698970004336019,0,0,2.07554696139253,0
0.55,0,2.52504480703684,1.30102999566398,0,2.93851972517649,0.698970004336019,0,0,1.90848501887865,0
0.6,0,2.39269695325967,0.954242509439325,0,2.80208925788173,0.602059991327962,0,0,1.77815125038364,0
0.65,0,2.22271647114758,0.845098040014257,0,2.64836001098093,0.477121254719662,0,0,1.64345267648619,0
0.7,0,2.09691001300806,0.698970004336019,0,2.4814426285023,0.477121254719662,0,0,1.43136376415899,0
0.75,0,1.93449845124357,0.477121254719662,0,2.32014628611105,0.301029995663981,0,0,1.32221929473392,0
0.8,0,1.78532983501077,0.477121254719662,0,3.12483014941386,0.301029995663981,0,0,1,0
0.85,0,1.61278385671974,0.477121254719662,0,2.95712819767681,0.301029995663981,0,0,0.845098040014257,0
0.9,0,1.43136376415899,0.301029995663981,0,2.80482067872116,0,0,0,0.845098040014257,0
0.95,0,1.27875360095283,0.301029995663981,0,2.65417654187796,0,0,0,0.698970004336019,0
1,0,1.23044892137827,0.301029995663981,0,2.46834733041216,0,0,0,0.698970004336019,0
1.05,0,1.14612803567824,0,0,2.28555730900777,0,0,0,0.698970004336019,0
1.1,0,0.903089986991943,0,0,2.14301480025409,0,0,0,0.301029995663981,0
1.15,0,0.903089986991943,0,0,1.99122607569249,0,0,0,3.08671566394488,0
1.2,0,0.602059991327962,0,0,1.83884909073726,0,0,0,2.92272545799326,0
1.25,0,0.477121254719662,0,0,1.65321251377534,0,0,0,2.76492298464989,0
1.3,0,0.477121254719662,0,0,1.49136169383427,0,0,0,2.58883172559421,0
1.35,0,0.477121254719662,0,0,1.41497334797082,0,0,0,2.42975228000241,0
1.4,0,0,0,0,1.23044892137827,0,0,0,2.27646180417324,0
1.45,0,0,0,0,1.07918124604762,0,0,0,2.14301480025409,0
1.5,0,0,0,0,0.698970004336019,0,0,0,2.00860017176192,0
1.55,0,0,0,0,0.698970004336019,0,0,0,1.88081359228079,0
1.6,0,0,0,0,0.477121254719662,0,0,0,1.68124123737559,3.06855689507236
1.65,0,0,0,0,0,0,0,0,1.38021124171161,2.90741136077459
1.7,0,0,0,0,0,0,0,0,1.17609125905568,2.77158748088126
1.75,0,0,0,0,0,0,0,0,1,2.60422605308447
