time,vet1,vet2,vet3,vet4,vet5,vet6,vet7,vet8,vet9,vet10
0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
0.85,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1.05,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0
1.15,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,3.72115084374968,0
1.35,0,0,0,0,0,0,0,0,3.56796690682315,0
1.4,0,0,0,0,0,0,0,0,3.41796964221474,0
1.45,0,0,0,0,0,0,0,0,3.26810972980848,0
1.5,0,0,0,0,0,0,0,0,3.10822665637493,0
1.55,0,0,0,0,0,0,0,0,2.94939000664491,0
1.6,0,0,0,0,0,0,0,0,2.79239168949825,0
1.65,0,0,0,0,0,0,0,0,2.63346845557959,0
1.7,0,0,0,0,0,0,0,0,2.48855071650044,0
1.75,0,0,0,0,0,0,0,0,2.32014628611105,0
1.8,0,0,0,0,0,0,0,0,2.17609125905568,0
1.85,0,0,0,0,0,0,0,0,2.00432137378264,0
1.9,0,0,0,0,0,0,0,0,1.85125834871908,0
1.95,0,0,0,0,0,0,0,0,1.63346845557959,0
2,0,0,0,0,0,0,0,0,1.49136169383427,0
2.05,0,0,0,0,0,0,0,0,1.34242268082221,0
2.1,0,0,0,0,0,0,0,0,1.14612803567824,0
2.15,0,0,0,0,0,0,0,0,0.954242509439325,0
2.2,0,0,0,0,0,0,0,0,0.845098040014257,0
2.25,0,0,0,0,0,0,0,0,0.778151250383644,0
2.3,0,0,0,0,0,0,0,0,0.301029995663981,0
2.35,0,0,0,0,0,0,0,0,0.301029995663981,0
2.4,0,0,0,0,0,0,0,0,0.301029995663981,0
2.45,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0
2.55,0,0,0,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0,0,0
2.65,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,0,0
2.75,0,0,0,0,0,3.71883371830386,0,0,0,0
2.8,0,0,0,0,0,3.57252309784964,0,0,0,0
2.85,0,0,0,0,0,3.41346741298582,0,0,0,0
2.9,0,0,0,0,0,3.26481782300954,0,0,0,0
2.95,0,0,0,0,0,3.10754912974469,0,0,0,0
3,0,0,0,0,0,3.794697126892,0,0,0,0
3.05,0,0,0,0,0,3.63928722591024,0,0,0,0
3.1,0,0,0,0,0,3.48713837547719,0,0,0,0
3.15,0,0,0,0,0,3.33465476688324,0,0,0,0
3.2,0,0,0,0,0,3.18241465243455,0,0,0,0
3.25,0,0,0,0,0,3.02694162795903,0,0,0,0
3.3,0,0,0,0,0,2.87215627274829,0,0,0,0
3.35,0,0,0,0,0,2.73479982958885,0,0,0,0
3.4,0,0,0,0,0,2.57863920996807,0,0,0,0
3.45,0,0,0,0,0,2.46389298898591,0,0,0,0
3.5,0,0,0,0,0,2.32633586092875,0,0,0,0
3.55,0,0,0,0,0,2.18184358794477,0,0,0,0
3.6,0,0,0,0,0,2.02530586526477,0,0,0,0
3.65,0,0,0,0,0,1.86923171973098,0,0,0,0
3.7,0,0,0,0,0,1.7481880270062,0,0,0,0
3.75,0,0,0,0,0,1.55630250076729,0,0,0,0
3.8,0,0,0,0,0,1.38021124171161,0,0,0,0
3.85,0,0,0,0,0,1.17609125905568,0,0,0,0
3.9,0,0,0,0,0,1.11394335230684,0,0,0,0
3.95,0,0,0,0,0,0.778151250383644,0,0,0,0
4,0,0,0,0,0,0.698970004336019,0,0,0,0
4.05,0,0,0,0,0,0.698970004336019,0,0,0,0
4.1,0,0,0,0,0,0.698970004336019,0,0,0,0
4.15,0,0,0,0,0,0.602059991327962,0,0,0,0
4.2,0,0,0,0,0,0.301029995663981,0,0,0,0
4.25,0,0,0,0,0,0.301029995663981,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0
4.35,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0,0
4.45,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0
4.55,0,0,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0,0
4.65,0,0,0,0,0,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0,0
4.75,0,0,0,0,0,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0,0
4.85,0,0,0,0,0,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0,0
